LAMMPS (23 Jun 2022 - Update 2)
# 3d Lennard-Jones melt

units		lj
atom_style	atomic
boundary	p p p

lattice	sc 0.5
Lattice spacing in x,y,z = 1.259921 1.259921 1.259921
region		box block 0 20 0 20 0 20
create_box	1 box
Created orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  1 by 2 by 2 MPI processor grid
create_atoms	1 box
Created 8000 atoms
  using lattice units in orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  create_atoms CPU = 0.001 seconds
mass		1 1.0
#read_data	Configuration-PBC.int

velocity        all create 1.5 22233 mom yes rot yes dist gaussian

pair_style	lj/cut 2.5
pair_coeff	1 1 1.0 1.0 2.5

neighbor	0.3 bin
neigh_modify	every 20 delay 0 check no

thermo_style    custom step temp press pe ke etotal vol
thermo          1000
thermo_modify   flush yes

fix		1 all nve

#dump            1 all custom 1000 Data.dump id type xu yu zu
#dump_modify     1 flush yes

#dump		2 all image 25 image.*.jpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	2 pad 3

#dump		3 all movie 25 movie.mpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	3 pad 3

run		1000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.708 | 2.708 | 2.708 Mbytes
   Step          Temp          Press          PotEng         KinEng         TotEng         Volume    
     80000   1.2792002      0.35878066    -3.1456738      1.9185604     -1.2271134      16000        
     81000   1.2754886      0.39444468    -3.1429492      1.9129938     -1.2299554      16000        
     82000   1.2759758      0.41978082    -3.1468503      1.9137245     -1.2331258      16000        
     83000   1.2707322      0.36747583    -3.1415173      1.90586       -1.2356573      16000        
     84000   1.2664523      0.35483714    -3.1378702      1.899441      -1.2384293      16000        
     85000   1.2705821      0.36201542    -3.1474414      1.9056349     -1.2418064      16000        
     86000   1.2738726      0.37587839    -3.1553274      1.9105701     -1.2447573      16000        
     87000   1.2732705      0.35438605    -3.1568338      1.9096671     -1.2471667      16000        
     88000   1.2600965      0.39305956    -3.1399611      1.8899085     -1.2500527      16000        
     89000   1.2730357      0.35480289    -3.1629865      1.9093149     -1.2536716      16000        
     90000   1.2708125      0.34698923    -3.1624357      1.9059805     -1.2564552      16000        
     91000   1.2595014      0.35444662    -3.1481436      1.8890159     -1.2591277      16000        
     92000   1.2769193      0.3320606     -3.1781094      1.9151395     -1.2629699      16000        
     93000   1.2603151      0.34968198    -3.155158       1.8902364     -1.2649216      16000        
     94000   1.2581214      0.32433854    -3.1544091      1.8869462     -1.2674629      16000        
     95000   1.2613697      0.31009579    -3.1622238      1.8918181     -1.2704057      16000        
     96000   1.2656914      0.40233034    -3.1726346      1.8982998     -1.2743348      16000        
     97000   1.2568913      0.32366246    -3.1612158      1.8851013     -1.2761145      16000        
     98000   1.2601475      0.37319889    -3.1691491      1.889985      -1.2791641      16000        
     99000   1.2512663      0.34419805    -3.1581911      1.8766649     -1.2815262      16000        
    100000   1.258517       0.34136948    -3.1715752      1.8875396     -1.2840356      16000        
    101000   1.2459537      0.37080119    -3.1553157      1.8686969     -1.2866187      16000        
    102000   1.2516202      0.2879739     -3.1662632      1.8771956     -1.2890676      16000        
    103000   1.2474722      0.3404142     -3.1629131      1.8709744     -1.2919387      16000        
    104000   1.2504537      0.3308902     -3.1711364      1.8754462     -1.2956903      16000        
    105000   1.2408619      0.35589297    -3.1587568      1.8610601     -1.2976967      16000        
    106000   1.2470937      0.2758009     -3.1705329      1.8704067     -1.3001262      16000        
    107000   1.2439623      0.32149341    -3.1689499      1.8657103     -1.3032396      16000        
    108000   1.2463723      0.33136201    -3.1749908      1.8693248     -1.305666       16000        
    109000   1.2491153      0.35492916    -3.1829005      1.8734387     -1.3094618      16000        
    110000   1.2334613      0.39596391    -3.161553       1.8499606     -1.3115924      16000        
    111000   1.2207005      0.3179157     -3.1436619      1.8308219     -1.31284        16000        
    112000   1.2387639      0.33535169    -3.1746071      1.8579137     -1.3166935      16000        
    113000   1.2355614      0.32582135    -3.1721089      1.8531105     -1.3189984      16000        
    114000   1.2366068      0.28844624    -3.1763578      1.8546783     -1.3216795      16000        
    115000   1.2222555      0.34534521    -3.1569786      1.8331541     -1.3238245      16000        
    116000   1.2317871      0.30731991    -3.1740035      1.8474496     -1.3265538      16000        
    117000   1.226847       0.32452117    -3.1688476      1.8400404     -1.3288072      16000        
    118000   1.2229434      0.28000265    -3.1654372      1.8341858     -1.3312514      16000        
    119000   1.2238529      0.34811749    -3.1699106      1.8355499     -1.3343607      16000        
    120000   1.2343613      0.27329871    -3.1881364      1.8513105     -1.3368259      16000        
    121000   1.2176241      0.33362651    -3.1654527      1.8262079     -1.3392448      16000        
    122000   1.2212292      0.34510938    -3.1739418      1.8316149     -1.3423269      16000        
    123000   1.2304009      0.25571346    -3.1888509      1.8453706     -1.3434803      16000        
    124000   1.2118652      0.29318828    -3.1638937      1.8175706     -1.3463231      16000        
    125000   1.22348        0.291463      -3.1841048      1.8349906     -1.3491143      16000        
    126000   1.2164713      0.33250455    -3.176529       1.8244789     -1.3520501      16000        
    127000   1.2243079      0.34962957    -3.191833       1.8362323     -1.3556006      16000        
    128000   1.2230097      0.33201694    -3.1914563      1.8342852     -1.3571711      16000        
    129000   1.2182758      0.27337308    -3.1863782      1.8271853     -1.3591929      16000        
    130000   1.2034122      0.3284995     -3.1662349      1.8048927     -1.3613423      16000        
    131000   1.2180771      0.28686858    -3.1906242      1.8268873     -1.3637369      16000        
    132000   1.197734       0.30650504    -3.161959       1.7963764     -1.3655826      16000        
    133000   1.2105387      0.3430375     -3.1847412      1.815581      -1.3691602      16000        
    134000   1.2072192      0.27877035    -3.18121        1.8106025     -1.3706075      16000        
    135000   1.2019511      0.24229572    -3.175057       1.8027012     -1.3723557      16000        
    136000   1.2042988      0.29240102    -3.1822485      1.8062225     -1.3760261      16000        
    137000   1.215848       0.28820182    -3.2024895      1.8235441     -1.3789454      16000        
    138000   1.2101502      0.27428815    -3.1956995      1.8149984     -1.3807011      16000        
    139000   1.1938916      0.28640742    -3.173248       1.7906136     -1.3826344      16000        
    140000   1.2195965      0.2198791     -3.2149846      1.829166      -1.3858186      16000        
    141000   1.1975946      0.31697869    -3.1839921      1.7961673     -1.3878248      16000        
    142000   1.1992431      0.30546961    -3.1891643      1.7986398     -1.3905245      16000        
    143000   1.2005917      0.26608398    -3.1929464      1.8006624     -1.392284       16000        
    144000   1.20285        0.26887924    -3.1987963      1.8040495     -1.3947468      16000        
    145000   1.1951485      0.25001134    -3.1889721      1.7924987     -1.3964735      16000        
    146000   1.1920843      0.29823809    -3.1870442      1.787903      -1.3991412      16000        
    147000   1.1869218      0.26705768    -3.1817945      1.7801601     -1.4016344      16000        
    148000   1.1929831      0.2936635     -3.1930629      1.7892509     -1.403812       16000        
    149000   1.1965952      0.26859244    -3.2010017      1.7946684     -1.4063333      16000        
    150000   1.1893119      0.26077774    -3.1917609      1.7837448     -1.4080162      16000        
    151000   1.1916208      0.27437798    -3.1975978      1.7872077     -1.4103901      16000        
    152000   1.1886289      0.2498682     -3.1954911      1.7827205     -1.4127705      16000        
    153000   1.1848035      0.25094383    -3.1911967      1.776983      -1.4142137      16000        
    154000   1.1884615      0.24690542    -3.1989831      1.7824694     -1.4165138      16000        
    155000   1.1805374      0.2606971     -3.1898424      1.7705847     -1.4192577      16000        
    156000   1.1854809      0.27902365    -3.1991725      1.777999      -1.4211735      16000        
    157000   1.1711646      0.22842325    -3.1797903      1.7565273     -1.423263       16000        
    158000   1.1879025      0.23773211    -3.2075128      1.7816311     -1.4258817      16000        
    159000   1.1881048      0.23095203    -3.2105867      1.7819345     -1.4286522      16000        
    160000   1.1751218      0.23235827    -3.1925718      1.7624624     -1.4301094      16000        
    161000   1.1834567      0.22171792    -3.2071931      1.7749632     -1.4322299      16000        
    162000   1.1838092      0.25174005    -3.2110254      1.7754918     -1.4355336      16000        
    163000   1.1772085      0.26173861    -3.2025892      1.765592      -1.4369973      16000        
    164000   1.1737603      0.26157978    -3.1995836      1.7604203     -1.4391633      16000        
    165000   1.1820258      0.20766319    -3.2139345      1.7728171     -1.4411175      16000        
    166000   1.1761829      0.25466463    -3.2075938      1.7640538     -1.44354        16000        
    167000   1.1747613      0.21687827    -3.2067745      1.7619216     -1.4448529      16000        
    168000   1.1831741      0.23164614    -3.2217684      1.7745393     -1.4472291      16000        
    169000   1.1790014      0.21679533    -3.2184452      1.768281      -1.4501642      16000        
    170000   1.175661       0.22601706    -3.2157863      1.763271      -1.4525153      16000        
